settlement_id,txn_ref,settled_amount,settled_at,fee,status
STL00021,TXN00021,8534.27,2025-02-02T03:52:27,183.86,settled
STL00255,TXN00255,6503.42,2025-01-03T18:56:21,139.68,settled
STL00023,TXN00023,8662.26,2025-01-04T23:12:56,137.09,settled
STL00111,TXN00111,4667.07,2025-01-19T11:21:08,79.96,settled
STL00032,TXN00032,1039.24,2025-01-07T11:26:03,20.38,settled
STL00207,TXN00207,5789.26,2025-01-08T21:51:44,140.57,settled
STL00266,TXN00266,6956.93,2025-01-22T15:38:57,167.52,settled
STL00269,TXN00269,8685.98,2025-01-06T06:16:49,168.06,settled
STL00217,TXN00217,4468.77,2025-01-31T05:15:09,91.41,settled
STL00115,TXN00115,9691.30,2025-01-11T07:25:39,210.01,settled
STL00245,TXN00245,9630.07,2025-01-21T16:05:09,182.22,settled
STL00121,TXN00121,1703.45,2025-01-03T12:10:16,39.19,settled
STL00152,TXN00152,6276.25,2025-01-09T00:47:23,139.01,settled
STL00006,TXN00006,5953.15,2025-01-16T12:31:22,123.74,settled
STL00241,TXN00241,6322.11,2025-01-08T23:17:07,103.51,settled
STL00009,TXN00009,6273.71,2025-01-09T20:30:29,119.57,settled
STL00042,TXN00042,4011.56,2025-01-22T18:33:48,85.82,settled
STL00059,TXN00059,8098.01,2025-01-12T15:06:41,125.30,settled
STL00091,TXN00091,2410.78,2025-01-20T09:32:53,50.81,settled
STL00176,TXN00176,125.46,2025-01-27T00:41:56,2.61,settled
STL00136,TXN00136,5017.88,2025-01-16T18:37:34,119.95,settled
STL00013,TXN00013,738.99,2025-01-13T16:44:53,16.28,settled
STL00062,TXN00062,9474.22,2025-01-07T04:08:19,154.87,settled
STL00117,TXN00117,1793.39,2025-01-06T16:43:59,27.36,settled
STL00299,TXN00299,9343.12,2025-01-03T02:50:47,144.11,settled
STL00290,TXN00290,7500.42,2025-01-17T18:23:48,167.18,refunded
STL00027,TXN00027,3952.84,2025-01-23T19:20:57,97.18,settled
STL00133,TXN00133,4369.51,2025-01-30T20:29:12,67.84,settled
STL00060,TXN00060,2805.26,2025-01-13T20:57:05,52.91,settled
STL00270,TXN00270,7523.99,2025-01-17T16:57:23,190.74,settled
STL00172,TXN00172,5386.00,2025-01-22T17:22:27,104.21,settled
STL00287,TXN00287,5892.92,2025-01-10T20:01:06,122.52,settled
STL00169,TXN00169,4488.13,2025-01-05T17:09:00,102.94,settled
STL00197,TXN00197,5903.13,2025-01-26T06:39:55,99.49,settled
STL00108,TXN00108,9540.55,2025-01-10T02:27:58,227.86,settled
STL00015,TXN00015,7353.07,2025-01-18T13:33:58,142.37,settled
STL00011,TXN00011,1674.92,2025-01-24T17:54:47,42.76,settled
STL00239,TXN00239,282.24,2025-01-29T12:53:04,5.90,settled
STL00185,TXN00185,6416.36,2025-01-29T03:50:14,127.71,settled
STL00259,TXN00259,434.38,2025-01-22T21:57:12,10.13,settled
STL00280,TXN00280,3386.02,2025-01-15T13:25:41,81.89,settled
STL00174,TXN00174,7708.84,2025-01-01T05:50:29,180.43,settled
STL00004,TXN00004,7935.02,2025-01-19T16:07:43,178.34,settled
STL00090,TXN00090,490.09,2025-01-26T00:43:46,8.47,settled
STL00040,TXN00040,692.58,2025-01-25T03:44:26,10.90,settled
STL00130,TXN00130,9479.20,2025-01-11T05:13:14,225.63,settled
STL00187,TXN00187,6538.39,2025-01-14T19:22:43,146.18,settled
STL00198,TXN00198,2734.95,2025-01-02T09:58:13,58.87,settled
STL00286,TXN00286,9491.02,2025-01-17T17:38:50,179.18,settled
STL00168,TXN00168,3063.49,2025-01-31T10:21:17,49.72,settled
STL00292,TXN00292,5061.21,2025-01-08T03:56:06,79.10,settled
STL00134,TXN00134,7019.14,2025-01-26T15:42:45,107.88,settled
STL00132,TXN00132,6180.37,2025-01-25T21:08:58,111.18,settled
STL00058,TXN00058,8400.84,2025-01-13T09:24:35,199.23,settled
STL00068,TXN00068,8211.01,2025-01-14T05:56:59,142.87,settled
STL00026,TXN00026,4192.34,2025-01-29T02:05:07,96.73,settled
STL00294,TXN00294,3180.59,2025-01-12T03:19:16,72.86,settled
STL00154,TXN00154,6299.75,2025-01-19T15:53:30,125.74,settled
STL00224,TXN00224,6612.02,2025-01-04T02:31:15,125.49,settled
STL00227,TXN00227,8611.58,2025-01-02T15:15:40,164.71,settled
STL00164,TXN00164,9454.32,2025-01-28T15:28:09,221.65,settled
STL00195,TXN00195,7268.58,2025-01-03T09:09:55,167.01,settled
STL00012,TXN00012,8248.17,2025-01-08T17:48:24,196.06,settled
STL00260,TXN00260,9342.65,2025-01-12T21:56:21,157.07,settled
STL00092,TXN00092,7530.19,2025-01-15T11:19:46,162.10,settled
STL00247,TXN00247,3504.15,2025-01-05T09:36:51,83.61,settled
STL00238,TXN00238,6854.88,2025-01-30T18:12:05,136.23,settled
STL00022,TXN00022,5340.62,2025-01-12T06:52:54,99.23,settled
STL00261,TXN00261,3720.98,2025-01-31T19:30:23,61.95,settled
STL00249,TXN00249,2057.70,2025-01-02T15:41:02,38.05,settled
STL00010,TXN00010,6897.55,2025-01-22T18:43:13,150.47,settled
STL00192,TXN00192,7470.40,2025-01-12T14:10:58,179.40,settled
STL00254,TXN00254,9772.96,2025-01-14T23:56:04,178.51,settled
STL00131,TXN00131,4579.24,2025-01-23T05:45:18,94.33,settled
STL00138,TXN00138,8494.65,2025-01-24T13:58:12,159.22,settled
STL00104,TXN00104,4455.53,2025-01-22T00:52:12,81.40,settled
STL00273,TXN00273,5142.30,2025-01-27T08:31:14,86.91,settled
STL00223,TXN00223,3746.03,2025-01-11T05:20:59,83.10,settled
STL00157,TXN00157,5574.66,2025-01-09T05:17:41,128.04,settled
STL00116,TXN00116,9313.83,2025-01-31T05:36:46,167.31,settled
STL00019,TXN00019,7570.87,2025-01-25T12:42:53,138.26,settled
STL00200,TXN00200,4833.05,2025-01-23T07:35:43,84.61,settled
STL00110,TXN00110,2944.20,2025-01-02T21:08:49,47.95,settled
STL00041,TXN00041,1632.56,2025-01-17T21:20:15,26.02,settled
STL00248,TXN00248,6213.37,2025-01-24T01:25:22,140.81,settled
STL00063,TXN00063,4314.23,2025-01-12T15:25:14,106.07,settled
STL00236,TXN00236,3855.39,2025-01-12T14:35:03,67.65,settled
STL00251,TXN00251,8482.05,2025-01-10T18:59:49,153.12,settled
STL00036,TXN00036,6397.15,2025-01-04T05:50:30,159.08,settled
STL00129,TXN00129,8024.80,2025-01-22T19:34:48,129.50,settled
STL00177,TXN00177,1375.50,2025-01-04T01:56:19,29.35,settled
STL00106,TXN00106,3313.86,2025-01-15T00:02:20,60.97,settled
STL00018,TXN00018,9501.76,2025-01-17T18:09:13,211.92,settled
STL00206,TXN00206,4564.81,2025-01-07T00:30:18,90.15,settled
STL00208,TXN00208,7646.60,2025-01-08T21:07:35,166.67,settled
STL00226,TXN00226,2959.57,2025-01-05T11:48:34,68.77,refunded
STL00055,TXN00055,8653.79,2025-01-26T00:23:05,199.14,settled
STL00278,TXN00278,391.90,2025-01-21T06:15:53,7.93,settled
STL00120,TXN00120,4205.10,2025-01-22T10:12:08,103.78,settled
STL00274,TXN00274,8807.79,2025-01-13T03:53:32,151.98,settled
STL00142,TXN00142,522.07,2025-01-28T17:57:21,10.04,settled
STL00179,TXN00179,7646.02,2025-01-17T02:19:16,156.35,settled
STL00295,TXN00295,5030.23,2025-01-19T13:14:49,92.19,settled
STL00141,TXN00141,9141.83,2025-01-13T20:34:42,193.41,settled
STL00155,TXN00155,8387.20,2025-01-07T20:00:22,160.82,settled
STL00214,TXN00214,648.99,2025-01-15T03:22:09,14.22,settled
STL00147,TXN00147,445.69,2025-01-29T00:41:52,9.71,settled
STL00030,TXN00030,784.11,2025-01-28T16:01:49,17.38,settled
STL00095,TXN00095,8322.69,2025-01-04T16:58:49,194.43,settled
STL00102,TXN00102,3416.96,2025-01-26T13:24:22,52.39,settled
STL00264,TXN00264,2879.71,2025-01-08T00:16:39,47.50,settled
STL00098,TXN00098,4309.50,2025-01-23T14:34:12,101.82,settled
STL00085,TXN00085,3347.45,2025-01-01T17:09:28,80.23,settled
STL00064,TXN00064,6944.34,2025-01-09T10:36:57,172.63,settled
STL00151,TXN00151,6084.69,2025-01-28T16:55:40,150.44,settled
STL00127,TXN00127,9508.66,2025-01-21T23:54:11,184.99,settled
STL00298,TXN00298,7071.63,2025-01-18T02:54:07,168.08,settled
STL00222,TXN00222,3104.85,2025-01-30T14:44:11,66.44,settled
STL00193,TXN00193,5517.42,2025-01-21T04:23:59,94.30,settled
STL00076,TXN00076,9671.41,2025-01-23T04:20:16,208.73,settled
STL00083,TXN00083,2993.98,2025-01-31T21:48:25,62.29,settled
STL00284,TXN00284,9132.67,2025-01-27T19:55:17,211.47,settled
STL00279,TXN00279,806.48,2025-01-11T00:30:46,15.95,settled
STL00082,TXN00082,9288.01,2025-01-29T22:15:56,178.00,settled
STL00124,TXN00124,5971.71,2025-01-24T21:44:07,105.06,refunded
STL00053,TXN00053,8226.40,2025-01-22T01:18:42,136.09,settled
STL00182,TXN00182,3235.43,2025-01-03T12:56:29,53.48,settled
STL00262,TXN00262,6431.00,2025-01-13T14:26:47,99.65,settled
STL00084,TXN00084,8828.97,2025-01-27T05:57:49,159.36,settled
STL00253,TXN00253,3653.51,2025-01-23T20:06:51,83.22,settled
STL00237,TXN00237,8270.16,2025-01-30T08:36:27,137.69,settled
STL00242,TXN00242,258.00,2025-01-20T20:31:01,4.71,settled
STL00276,TXN00276,1601.45,2025-01-31T22:08:26,25.07,settled
STL00215,TXN00215,5014.79,2025-01-20T22:37:47,105.18,settled
STL00282,TXN00282,4635.61,2025-01-11T10:48:05,82.47,settled
STL00112,TXN00112,1204.97,2025-01-10T03:23:36,24.49,settled
STL00233,TXN00233,5458.52,2025-01-28T18:30:55,131.43,settled
STL00114,TXN00114,5987.79,2025-01-18T23:09:08,114.75,settled
STL00086,TXN00086,359.39,2025-01-20T20:26:48,7.58,settled
STL00285,TXN00285,4960.99,2025-01-17T23:59:46,76.73,settled
STL00210,TXN00210,1517.22,2025-01-08T05:44:34,32.58,settled
STL00099,TXN00099,4591.67,2025-01-25T19:36:12,110.58,settled
STL00163,TXN00163,4629.71,2025-01-26T08:11:35,106.77,settled
STL00220,TXN00220,6404.54,2025-01-03T05:58:11,103.78,settled
STL00087,TXN00087,4275.94,2025-01-04T06:24:06,67.33,settled
STL00103,TXN00103,7065.50,2025-01-03T16:47:15,163.24,settled
STL00002,TXN00002,945.99,2025-01-22T23:51:22,14.70,settled
STL00079,TXN00079,2363.54,2025-01-23T12:24:10,57.95,settled
STL00035,TXN00035,4572.00,2025-01-06T19:08:29,108.02,settled
STL00028,TXN00028,2275.96,2025-01-04T13:01:33,48.54,settled
STL00119,TXN00119,786.27,2025-01-24T02:31:50,18.41,settled
STL00052,TXN00052,5514.76,2025-01-23T18:34:17,138.22,settled
STL00293,TXN00293,5115.96,2025-01-26T20:14:54,125.43,settled
STL00156,TXN00156,9681.65,2025-01-19T17:46:20,246.00,settled
STL00128,TXN00128,8403.09,2025-01-22T08:48:30,188.47,refunded
STL00165,TXN00165,1295.94,2025-01-10T01:32:09,27.59,settled
STL00291,TXN00291,3902.10,2025-01-05T06:31:12,97.55,settled
STL00065,TXN00065,3627.11,2025-01-22T09:10:25,78.68,settled
STL00246,TXN00246,7191.70,2025-01-12T14:46:44,164.42,settled
STL00066,TXN00066,5023.10,2025-01-24T15:56:03,97.41,settled
STL00094,TXN00094,3942.63,2025-01-19T17:39:52,84.25,settled
STL00020,TXN00020,9326.93,2025-01-15T09:07:05,215.85,settled
STL00205,TXN00205,4170.76,2025-01-14T05:18:24,64.41,settled
STL00125,TXN00125,9841.81,2025-01-19T03:45:19,153.96,settled
STL00078,TXN00078,2794.89,2025-01-28T01:12:59,50.49,settled
STL00109,TXN00109,1575.00,2025-01-08T14:08:21,30.52,settled
STL00072,TXN00072,544.42,2025-01-05T02:53:21,13.10,settled
STL00113,TXN00113,1562.81,2025-01-21T03:57:06,39.96,settled
DUP00034,TXN00034,2511.78,2025-01-26T10:58:42,49.92,settled
STL00017,TXN00017,5878.60,2025-01-26T23:22:13,125.85,settled
STL00038,TXN00038,9678.63,2025-01-13T09:04:42,175.93,settled
STL00257,TXN00257,9589.44,2025-01-10T06:16:56,212.83,settled
STL00263,TXN00263,3841.75,2025-01-17T02:51:01,89.43,settled
STL00158,TXN00158,5979.39,2025-01-25T18:22:42,130.55,settled
DUP00007,TXN00007,2951.65,2025-01-03T22:05:57,50.81,settled
STL00073,TXN00073,8695.80,2025-01-15T19:05:21,176.96,settled
STL00283,TXN00283,9226.36,2025-01-02T13:33:58,232.95,settled
DUP00049,TXN00049,7059.88,2025-01-20T12:40:07,144.48,settled
STL00088,TXN00088,4519.69,2025-01-11T14:42:22,81.83,settled
STL00126,TXN00126,6386.39,2025-01-17T01:53:41,163.55,settled
STL00045,TXN00045,6122.14,2025-01-02T01:41:08,127.34,settled
STL00203,TXN00203,4956.75,2025-01-23T09:22:41,95.85,settled
STL00216,TXN00216,6423.72,2025-01-15T23:48:48,129.47,settled
STL00153,TXN00153,6676.15,2025-01-29T16:28:20,132.20,settled
STL00007,TXN00007,2951.65,2025-01-03T22:05:57,50.81,settled
STL00202,TXN00202,173.65,2025-01-11T13:22:06,2.88,settled
STL00171,TXN00171,2197.95,2025-01-02T15:29:26,53.02,settled
STL00049,TXN00049,7059.88,2025-01-20T12:40:07,144.48,settled
STL00186,TXN00186,8106.58,2025-01-14T18:20:24,184.87,settled
STL00047,TXN00047,6937.92,2025-01-15T21:46:40,127.13,settled
STL00014,TXN00014,4561.54,2025-01-30T08:24:19,81.09,settled
STL00289,TXN00289,5560.72,2025-01-03T03:45:47,101.27,settled
STL00213,TXN00213,5861.32,2025-01-26T18:00:02,93.74,settled
STL00268,TXN00268,351.91,2025-01-27T02:59:12,8.30,settled
STL00234,TXN00234,2756.05,2025-01-03T09:50:12,44.58,settled
STL00225,TXN00225,3423.01,2025-01-31T10:47:54,60.14,settled
STL00097,TXN00097,8038.28,2025-01-28T23:17:37,202.80,settled
STL00046,TXN00046,9164.67,2025-01-09T07:49:21,174.60,settled
STL00069,TXN00069,3218.69,2025-01-21T08:50:13,71.58,settled
STL00054,TXN00054,8804.34,2025-01-12T07:27:09,195.01,settled
STL00140,TXN00140,4437.98,2025-01-28T14:24:36,82.84,settled
STL00297,TXN00297,2671.90,2025-01-20T20:16:45,56.85,settled
STL00232,TXN00232,7907.79,2025-01-27T15:16:14,124.68,settled
STL00161,TXN00161,1380.19,2025-01-06T12:18:38,28.19,settled
STL00003,TXN00003,5943.67,2025-01-09T02:23:57,116.32,settled
STL00048,TXN00048,2673.21,2025-01-31T09:53:21,45.00,settled
STL00056,TXN00056,9615.55,2025-02-03T05:54:59,148.89,settled
STL00189,TXN00189,4761.10,2025-01-26T11:44:14,107.16,settled
STL00167,TXN00167,8955.77,2025-01-21T17:54:12,147.17,settled
STL00204,TXN00204,4555.01,2025-01-14T10:40:56,96.56,settled
DUP00092,TXN00092,7530.19,2025-01-15T11:19:46,162.10,settled
STL00199,TXN00199,7427.77,2025-01-09T12:50:55,146.17,settled
STL00080,TXN00080,2205.15,2025-01-05T12:29:29,37.38,settled
STL00139,TXN00139,2839.79,2025-01-09T08:05:36,60.32,settled
STL00044,TXN00044,3945.30,2025-01-08T11:40:14,72.98,settled
