txn_id,timestamp,amount,currency,merchant,status
TXN00137,2025-01-08T16:37:51,5557.52,USD,Zomato,captured
TXN00290,2025-01-17T16:23:48,7667.60,INR,PhonePe Store,captured
TXN00098,2025-01-23T05:34:12,4411.32,INR,PhonePe Store,captured
TXN00073,2025-01-15T15:05:21,8872.76,INR,Myntra,captured
TXN00083,2025-01-31T12:48:25,3056.27,USD,Myntra,captured
TXN00142,2025-01-28T14:57:21,532.11,EUR,Myntra,captured
TXN00062,2025-01-06T21:08:19,9629.09,INR,Flipkart,captured
TXN00102,2025-01-26T09:24:22,3469.35,INR,Ola,captured
TXN00249,2025-01-02T10:41:02,2095.75,INR,Flipkart,captured
TXN00181,2025-01-28T14:37:20,4320.11,INR,BookMyShow,captured
TXN00231,2025-01-15T16:48:33,7717.44,USD,Ola,captured
TXN00179,2025-01-16T16:19:16,7802.37,INR,BookMyShow,captured
TXN00251,2025-01-10T12:59:49,8635.17,INR,BigBasket,captured
TXN00296,2025-01-12T12:03:36,6770.68,USD,PhonePe Store,captured
TXN00194,2025-01-30T12:22:21,3575.13,INR,Swiggy,captured
TXN00192,2025-01-12T04:10:58,7649.80,INR,Myntra,captured
TXN00031,2025-01-18T04:49:02,7261.19,EUR,Zomato,captured
TXN00190,2025-01-28T01:52:23,9687.15,INR,BigBasket,captured
TXN00227,2025-01-02T12:15:40,8776.29,INR,PhonePe Store,captured
TXN00055,2025-01-25T20:23:05,8852.93,USD,PhonePe Store,captured
TXN00004,2025-01-19T10:07:43,8113.36,INR,Swiggy,captured
TXN00078,2025-01-27T23:12:59,2845.38,EUR,Zomato,captured
TXN00086,2025-01-20T19:26:48,366.97,USD,PhonePe Store,captured
TXN00054,2025-01-12T01:27:09,8999.35,INR,Zomato,captured
TXN00123,2025-01-17T19:39:36,4988.57,INR,PhonePe Store,captured
TXN00056,2025-01-28T05:54:59,9764.44,INR,Myntra,captured
TXN00144,2025-01-04T19:08:57,9113.37,INR,Swiggy,captured
TXN00172,2025-01-22T13:22:27,5490.21,INR,Flipkart,captured
TXN00239,2025-01-29T02:53:04,288.14,INR,Swiggy,captured
TXN00151,2025-01-28T13:55:40,6235.13,INR,BookMyShow,captured
TXN00195,2025-01-03T05:09:55,7435.59,INR,Amazon,captured
TXN00299,2025-01-02T20:50:47,9487.23,INR,Zomato,captured
TXN00245,2025-01-21T14:05:09,9812.29,INR,Flipkart,captured
TXN00019,2025-01-25T09:42:53,7709.13,INR,Amazon,captured
TXN00224,2025-01-03T23:31:15,6737.51,INR,Flipkart,captured
TXN00011,2025-01-24T08:54:47,1717.68,USD,Uber,captured
TXN00232,2025-01-27T07:16:14,8032.47,INR,Uber,captured
TXN00286,2025-01-17T16:38:50,9670.20,INR,PhonePe Store,captured
TXN00173,2025-01-31T04:26:51,9495.21,EUR,Amazon,captured
TXN00097,2025-01-28T15:17:37,8241.08,INR,Myntra,captured
TXN00069,2025-01-20T23:50:13,3290.27,EUR,BookMyShow,captured
TXN00014,2025-01-29T23:24:19,4642.63,INR,Swiggy,captured
TXN00049,2025-01-20T07:40:07,7204.36,INR,Uber,captured
TXN00213,2025-01-26T10:00:02,5955.06,INR,Ola,captured
TXN00186,2025-01-14T12:20:24,8291.45,USD,Myntra,captured
TXN00138,2025-01-24T04:58:12,8653.87,INR,Myntra,captured
TXN00024,2025-01-31T02:52:02,947.97,EUR,Amazon,captured
TXN00265,2025-01-15T06:17:10,8996.92,EUR,Amazon,captured
TXN00217,2025-01-31T02:15:09,4560.18,INR,Amazon,captured
TXN00262,2025-01-13T11:26:47,6530.65,INR,Amazon,captured
TXN00237,2025-01-30T03:36:27,8407.85,INR,Swiggy,captured
TXN00021,2025-01-30T03:52:27,8718.13,INR,Ola,captured
TXN00166,2025-01-04T08:30:47,4767.62,INR,PhonePe Store,captured
TXN00085,2025-01-01T14:09:28,3427.68,USD,Swiggy,captured
TXN00053,2025-01-18T01:18:42,8362.49,INR,Myntra,captured
TXN00066,2025-01-24T10:56:03,5120.51,USD,BigBasket,captured
TXN00063,2025-01-12T11:25:14,4420.30,INR,Myntra,captured
TXN00100,2025-01-09T16:24:47,2514.25,EUR,PhonePe Store,captured
TXN00035,2025-01-06T10:08:29,4680.02,INR,BookMyShow,captured
TXN00136,2025-01-16T10:37:34,5137.83,INR,Myntra,captured
TXN00143,2025-01-16T01:20:52,1349.84,INR,Amazon,captured
TXN00270,2025-01-17T14:57:23,7714.73,INR,Swiggy,captured
TXN00282,2025-01-11T08:48:05,4718.08,INR,BookMyShow,captured
TXN00030,2025-01-28T12:01:49,801.49,INR,Uber,captured
TXN00238,2025-01-30T17:12:05,6991.11,INR,BookMyShow,captured
TXN00285,2025-01-17T16:59:46,5037.72,INR,BookMyShow,captured
TXN00284,2025-01-27T11:55:17,9344.14,INR,Zomato,captured
TXN00116,2025-01-31T03:36:46,9481.14,INR,Zomato,captured
TXN00124,2025-01-24T11:44:07,6076.77,INR,Amazon,captured
TXN00243,2025-01-20T12:50:44,2481.59,USD,Swiggy,captured
TXN00095,2025-01-04T10:58:49,8517.90,INR,PhonePe Store,captured
TXN00193,2025-01-20T23:23:59,5611.72,INR,Flipkart,captured
TXN00281,2025-01-24T12:34:28,9756.20,INR,BigBasket,captured
TXN00077,2025-01-14T19:56:50,4514.54,INR,BookMyShow,captured
TXN00210,2025-01-08T03:44:34,1549.80,INR,Swiggy,captured
TXN00214,2025-01-15T01:22:09,663.21,INR,Amazon,captured
TXN00289,2025-01-02T20:45:47,5661.99,INR,Ola,captured
TXN00269,2025-01-05T22:16:49,8854.04,INR,Uber,captured
TXN00196,2025-01-13T15:17:08,4591.09,INR,BigBasket,captured
TXN00177,2025-01-04T00:56:19,1404.85,INR,Zomato,captured
TXN00025,2025-01-25T04:34:43,1371.08,EUR,Ola,captured
TXN00254,2025-01-14T21:56:04,9951.47,INR,Ola,captured
TXN00219,2025-01-12T13:34:30,9187.57,USD,Myntra,captured
TXN00090,2025-01-25T23:43:46,498.56,INR,Zomato,captured
TXN00032,2025-01-07T03:26:03,1059.62,USD,BigBasket,captured
TXN00141,2025-01-13T16:34:42,9335.24,INR,Zomato,captured
TXN00154,2025-01-19T10:53:30,6425.49,USD,Uber,captured
TXN00212,2025-01-11T22:50:10,3229.78,EUR,Amazon,captured
TXN00114,2025-01-18T15:09:08,6102.54,INR,Ola,captured
TXN00267,2025-01-26T13:09:41,5136.68,INR,Zomato,captured
TXN00074,2025-01-05T23:53:10,6907.46,INR,Myntra,captured
TXN00155,2025-01-07T14:00:22,8548.02,INR,Zomato,captured
TXN00122,2025-01-30T10:30:28,4447.62,EUR,Uber,captured
TXN00165,2025-01-09T19:32:09,1323.53,INR,Uber,captured
TXN00164,2025-01-28T14:28:09,9675.97,INR,Amazon,captured
TXN00297,2025-01-20T17:16:45,2728.75,INR,Flipkart,captured
TXN00149,2025-01-29T01:03:14,555.31,INR,Uber,captured
TXN00258,2025-01-12T18:40:51,8030.85,INR,Flipkart,captured
TXN00072,2025-01-05T00:53:21,557.52,EUR,PhonePe Store,captured
TXN00029,2025-01-19T08:01:04,171.19,INR,Zomato,captured
TXN00112,2025-01-09T17:23:36,1229.46,INR,Myntra,captured
TXN00277,2025-01-03T01:39:18,9490.61,INR,Zomato,captured
TXN00120,2025-01-22T07:12:08,4308.88,INR,Swiggy,captured
TXN00225,2025-01-31T07:47:54,3483.15,EUR,Zomato,captured
TXN00206,2025-01-06T22:30:18,4654.96,INR,Amazon,captured
TXN00023,2025-01-04T13:12:56,8799.35,INR,Zomato,captured
